match_id,match_date,kickoff_time_local,match_date_utc,kickoff_time_utc,matchday,competition_id,competition_name,season,season_id,stage,home_team_id,home_team,home_team_code,away_team_id,away_team,away_team_code,venue,winner,result_home,goals_home_ht,goals_away_ht,goals_home_ft,goals_away_ft,is_home_match,last_result_vs_opponent,tickets_scanned,league_position_home,league_position_away,Opponent,Home_games,Total_gols_in_game,opponent_position,our_position,phase_of_season,numeric_result,winning_streak,Team_position,Time_of_day
d0te6swsv2y99ywgugc2utbmc,44765,0.760416667,2022-07-23Z,16:15:00Z,1,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,1uk609mhtsfhokhaewjapb26,Kortrijk,KVK,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Guldensporenstadion,away,L,0,0,0,2,FALSE,L 1-2,,14,9,Kortrijk,0,2,14,9,Beggining,1,0,9,Afternoon
d256yo3eng04m0fu7b4sl7wno,44772,0.760416667,2022-07-30Z,16:15:00Z,2,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,2nhn3ikl1ciq34w3hcp883d6p,Westerlo,WES,King Power at Den Dreef Stadion,home,W,1,0,2,0,TRUE,,5565,1,1,Westerlo,1,2,1,1,Beggining,3,0,1,Afternoon
d3pqkck2grzx98jg4sofhp8us,44780,0.875,2022-08-07Z,19:00:00Z,3,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,7zibyotq1x1hq6pmgibhr0e6s,Antwerp,ANT,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Bosuilstadion,home,W,2,1,4,2,FALSE,L 0-1,,2,1,Antwerp,0,6,2,1,Beggining,3,1,1,Evening
d4mn5ksbxuvnaww4pmommxhqs,44787,0.770833333,2022-08-14Z,16:30:00Z,4,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,1oyb7oym5nwzny8vxf03szd2h,Club Brugge,CLU,King Power at Den Dreef Stadion,away,L,0,2,0,3,TRUE,L 1-4,7440,4,8,Club Brugge,1,3,8,4,Beggining,1,2,4,Afternoon
d5htdqmc8w72upys41sfxhfkk,44794,0.770833333,2022-08-21Z,16:30:00Z,5,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,5z1b7fuvpqe6vnigvopomvecu,Standard Liège,STA,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Stade Maurice Dufrasne,away,L,0,2,1,3,FALSE,W 2-1,,12,9,Standard Liège,0,4,12,9,Beggining,1,0,9,Afternoon
d65hmi7sq03yzr5he1k7ypus4,44800,0.760416667,2022-08-27Z,16:15:00Z,6,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,2b57rbw94i9ohnbch52owvqtq,KV Oostende,KVO,King Power at Den Dreef Stadion,home,W,0,1,2,1,TRUE,W 3-1,4489,7,11,KV Oostende,1,3,11,7,Midle,3,0,7,Afternoon
d700mwu32x772ns4veqq32yhg,44808,0.5625,2022-09-04Z,11:30:00Z,7,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht,AND,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Lotto Park,draw,D,0,1,2,2,FALSE,D 0-0,,7,4,Anderlecht,0,4,7,4,Midle,2,1,4,Morning
d80mkemezkz16bqh6lbn8tlhw,44814,0.864583333,2022-09-10Z,18:45:00Z,8,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,920raeoumft3q2wmvc296uceo,Sporting Charleroi,CHA,King Power at Den Dreef Stadion,home,W,1,1,3,2,TRUE,W 3-0,4508,4,6,Sporting Charleroi,1,5,6,4,Midle,3,0,4,Evening
d9pbl588401et3engzzakcfmc,44821,0.666666667,2022-09-17Z,14:00:00Z,9,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,b7jmo07lqav0wfe2mtlzyspak,Mechelen,KVM,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,Achter De Kazerne,draw,D,0,0,0,0,FALSE,L 0-2,,10,4,Mechelen,0,0,10,4,Midle,2,1,4,Afternoon
dak40etbhbqsr1nxyt50qcg0k,44835,0.666666667,2022-10-01Z,14:00:00Z,10,4zwgbb66rif2spcoeeol2motx,Belgian Jupiler Pro League,2022/2023,5wj8l9y4s3484k6puwup793pw,Regular Season,bw9wm8pqfzcchumhiwdt2w15c,OH Leuven,OHL,ecj1gmc7pqcjo4sc9hvghj5u3,Union Saint-Gilloise,STG,King Power at Den Dreef Stadion,away,L,0,2,0,3,TRUE,L 1-4,6290,4,6,Union Saint-Gilloise,1,3,6,4,Midle,1,0,4,Afternoon
