away_team,away_standing,ohl_standing,match_day,total_days,tickets_scanned
Westerlo,1,1,1,17,5565.0
Club Brugge,8,4,2,17,7440.0
KV Oostende,11,7,3,17,4489.0
Sporting Charleroi,6,4,4,17,4508.0
Union Saint-Gilloise,6,4,5,17,6290.0
Genk,2,5,6,17,7238.0
Gent,5,7,7,17,7166.0
Seraing,18,9,8,17,5285.0
Kortrijk,16,7,9,17,3766.0
Eupen,14,8,10,17,3537.0
Sint-Truiden,8,9,11,17,6399.0
Cercle Brugge,9,11,12,17,4721.0
Antwerp,3,11,13,17,9331.0
Zulte Waregem,16,12,14,17,7785.0
Anderlecht,9,10,15,17,10827.0
Mechelen,13,11,16,17,8310.0
Standard Liège,6,11,17,17,10079.0
RWDM,16,6,1,20,7786.0
Antwerp,4,15,2,20,8577.0
Kortrijk,16,14,3,20,9144.0
Gent,1,12,4,20,9598.0
Standard Liège,13,12,5,20,9211.0
Sint-Truiden,9,14,6,20,7784.0
Westerlo,16,13,7,20,9240.0
Club Brugge,7,14,8,20,10546.0
Cercle Brugge,7,15,9,20,8038.0
Eupen,14,15,10,20,7863.0
Anderlecht,2,14,11,20,10786.0
Genk,5,15,12,20,7846.0
Sporting Charleroi,13,12,13,20,9228.0
Union Saint-Gilloise,1,12,14,20,9789.0
Mechelen,6,13,15,20,11069.0
Mechelen,8,12,16,20,6701.0
Gent,2,11,17,20,4936.0
Sint-Truiden,6,15,18,20,4350.0
Standard Liège,14,12,19,20,4913.0
Westerlo,16,13,20,20,5907.0
Genk,5,5,1,20,5583.0
Cercle Brugge,10,6,2,20,5528.0
Standard Liège,7,8,3,20,8958.0
Kortrijk,14,9,4,20,6061.0
Antwerp,4,12,5,20,6921.0
Club Brugge,2,10,6,20,10485.0
Union Saint-Gilloise,7,13,7,20,6344.0
Anderlecht,3,11,8,20,10723.0
Sporting Charleroi,10,12,9,20,5641.0
Beerschot,16,12,10,20,6655.0
Gent,6,12,11,20,5550.0
Mechelen,11,12,12,20,6619.0
Dender,9,11,13,20,5782.0
Westerlo,13,9,14,20,7097.0
Sint-Truiden,14,11,15,20,7689.0
Sporting Charleroi,10,11,16,20,4241.0
Dender,2,6,17,20,4252.0
Standard Liège,7,8,18,20,5164.0
Mechelen,9,4,19,20,5615.0
Westerlo,9,8,20,20,5025.0
Sporting Charleroi,11,14,1,14,4318.0
Genk,14,16,2,14,6360.0
Standard Liège,8,15,3,14,6676.0
RAAL La Louvière,13,15,4,14,4036.0
Anderlecht,2,15,5,14,6977.0
Club Brugge,2,15,6,14,7992.0
Gent,3,15,7,14,6373.0
Sint-Truiden,4,13,8,14,5661.0
Zulte Waregem,8,14,9,14,4494.0
Cercle Brugge,15,14,10,14,5812.0
Union Saint-Gilloise,1,15,11,14,5322.0
Mechelen,6,15,12,14,5971.0
Dender,16,13,13,14,5137.0
Westerlo,8,14,14,14,6062.0

Dans,4,1,20,30,
Brugge,1,15,29,30,
Antwerp,4,1,29,30,
